participant_id,redcap_event_name,qualtrics_screener_reward
1240,screening_process_arm_1,
1241,screening_process_arm_1,
1242,screening_process_arm_1,
1243,screening_process_arm_1,-1
1244,screening_process_arm_1,1
1245,screening_process_arm_1,0
1246,screening_process_arm_1,
1247,screening_process_arm_1,0
1248,screening_process_arm_1,0
1249,screening_process_arm_1,1
1250,screening_process_arm_1,1
1251,screening_process_arm_1,-1
1253,screening_process_arm_1,0
1255,screening_process_arm_1,0
1264,screening_process_arm_1,-1
1267,screening_process_arm_1,1
1272,screening_process_arm_1,0
1273,screening_process_arm_1,1
1276,screening_process_arm_1,0
1280,screening_process_arm_1,-1
1282,screening_process_arm_1,0
1286,screening_process_arm_1,0
1294,screening_process_arm_1,1
1299,screening_process_arm_1,0
1300,screening_process_arm_1,-1
1301,screening_process_arm_1,1
1302,screening_process_arm_1,0
1303,screening_process_arm_1,0
3101,screening_process_arm_1,0
3116,screening_process_arm_1,1
3122,screening_process_arm_1,0
3125,screening_process_arm_1,0
3127,screening_process_arm_1,0
3129,screening_process_arm_1,0
3132,screening_process_arm_1,-1
3139,screening_process_arm_1,-1
3140,screening_process_arm_1,0
3143,screening_process_arm_1,0
3146,screening_process_arm_1,1
3147,screening_process_arm_1,1
3152,screening_process_arm_1,1
3153,screening_process_arm_1,0
3164,screening_process_arm_1,0
3166,screening_process_arm_1,1
3167,screening_process_arm_1,1
3170,screening_process_arm_1,-1
3173,screening_process_arm_1,1
3175,screening_process_arm_1,0
3176,screening_process_arm_1,0
3178,screening_process_arm_1,1
3186,screening_process_arm_1,0
3188,screening_process_arm_1,-1
3189,screening_process_arm_1,0
3190,screening_process_arm_1,1
3201,screening_process_arm_1,0
