nTrial,trial_type,Endowment,ITI,ISI,L_Option,R_Option
1,2,23,4,0.5,4,1
2,2,25,2,3.5,8,2
3,3,19,2,0.5,7,0
4,3,23,8,3.5,1,0
5,3,21,4,2,0,1
6,3,19,6,0.5,0,9
7,1,17,2,2,3,5
8,3,17,2,0.5,0,4
9,2,21,4,0.5,4,1
10,3,25,2,0.5,1,0
11,2,21,4,0.5,7,9
12,1,23,4,0.5,7,4
13,1,23,6,0.5,1,7
14,1,15,2,3.5,5,3
15,1,23,2,0.5,1,10
16,3,21,2,0.5,5,0
17,1,23,4,0.5,10,1
18,1,15,2,2,3,7
19,2,19,6,2,1,4
20,2,25,2,3.5,11,8
21,3,21,6,2,0,3
22,3,17,8,2,8,0
23,2,25,2,2,2,11
24,3,21,2,2,0,3
25,2,17,2,3.5,8,5
26,2,19,2,0.5,4,6
27,2,19,4,2,1,6
28,1,23,2,0.5,10,4
29,1,21,4,0.5,9,1
30,1,15,2,0.5,1,3
31,2,15,8,2,5,1
32,3,19,2,0.5,7,0
33,1,25,4,0.5,5,11
34,1,23,2,0.5,10,4
35,3,21,6,3.5,3,0
36,2,25,4,0.5,8,11
