nTrial,trial_type,Endowment,ITI,ISI,L_Option,R_Option
1,2,19,6,2,1,4
2,3,25,2,2,4,0
3,2,19,2,2,1,9
4,3,17,4,3.5,0,4
5,1,17,4,0.5,3,1
6,1,19,2,3.5,6,9
7,3,19,2,2,5,0
8,2,17,2,0.5,8,3
9,1,25,8,0.5,8,5
10,3,21,4,2,9,0
11,2,17,2,2,5,1
12,2,15,4,0.5,3,7
13,2,19,2,0.5,1,6
14,3,25,2,0.5,1,0
15,1,19,2,3.5,4,9
16,3,21,4,2,3,0
17,1,17,2,2,3,5
18,2,21,2,3.5,9,7
19,1,25,2,3.5,11,5
20,3,17,6,2,1,0
21,1,23,2,0.5,10,1
22,1,23,8,0.5,10,7
23,1,23,6,0.5,1,7
24,2,21,2,2,4,7
25,1,17,4,0.5,1,8
26,1,23,6,0.5,7,10
27,2,17,4,0.5,1,3
28,3,15,6,0.5,2,0
29,3,17,4,0.5,0,8
30,2,25,2,0.5,5,2
31,2,17,2,0.5,5,3
32,2,15,4,0.5,7,1
33,3,19,2,3.5,1,0
34,1,15,8,0.5,5,1
35,3,19,2,0.5,7,0
36,3,19,4,0.5,7,0
