nTrial,trial_type,Endowment,ITI,ISI,L_Option,R_Option
1,3,23,2,3.5,0,1
2,3,15,2,0.5,5,0
3,2,23,6,0.5,7,4
4,1,15,8,0.5,7,5
5,2,23,6,0.5,7,1
6,1,23,4,0.5,4,10
7,1,25,2,2,5,2
8,2,23,4,0.5,7,4
9,2,25,2,2,5,11
10,3,17,2,3.5,0,3
11,2,15,4,0.5,1,7
12,3,23,2,0.5,10,0
13,1,19,2,0.5,1,6
14,2,17,4,0.5,3,5
15,3,25,2,2,0,11
16,2,15,2,0.5,1,3
17,1,21,2,3.5,9,4
18,2,25,4,2,11,2
19,1,21,2,0.5,4,7
20,3,23,2,0.5,0,6
21,1,15,6,2,1,7
22,3,15,2,3.5,1,0
23,2,21,4,0.5,4,1
24,1,19,2,0.5,6,9
25,3,23,2,3.5,0,3
26,1,23,4,0.5,7,1
27,2,23,4,0.5,10,1
28,3,19,2,2,0,7
29,3,19,4,2,5,0
30,1,21,6,0.5,1,4
31,3,17,4,0.5,3,0
32,1,17,8,0.5,8,3
33,3,15,2,3.5,1,0
34,2,23,8,2,7,10
35,2,21,2,2,1,7
36,1,15,6,2,7,5
