nTrial,trial_type,Endowment,ITI,ISI,L_Option,R_Option
1,2,21,2,0.5,9,4
2,2,25,2,0.5,8,2
3,3,19,2,0.5,3,0
4,3,21,6,0.5,5,0
5,1,25,2,0.5,5,8
6,1,23,2,0.5,7,4
7,3,17,4,0.5,0,1
8,3,25,2,3.5,0,4
9,3,21,6,2,0,5
10,1,21,2,0.5,9,7
11,2,19,4,0.5,1,9
12,3,17,2,3.5,0,1
13,1,23,6,0.5,4,10
14,3,15,2,2,2,0
15,1,19,6,2,4,1
16,3,21,4,0.5,0,7
17,1,21,4,0.5,9,1
18,2,23,2,2,4,1
19,3,17,6,3.5,0,8
20,3,21,2,0.5,0,7
21,3,25,4,0.5,1,0
22,3,15,4,0.5,0,7
23,2,15,2,0.5,1,5
24,1,23,8,0.5,10,1
25,2,23,2,2,10,4
26,2,19,4,0.5,1,6
27,1,23,2,3.5,4,10
28,2,25,4,3.5,8,5
29,2,17,4,2,5,8
30,2,25,2,0.5,8,11
31,1,23,2,0.5,1,4
32,1,15,2,2,7,5
33,2,23,2,2,1,10
34,1,25,8,3.5,5,8
35,1,17,4,2,1,3
36,2,15,8,2,5,1
