nTrial,trial_type,Endowment,ITI,ISI,L_Option,R_Option
1,1,19,4,0.5,6,9
2,3,25,2,0.5,0,9
3,1,25,2,0.5,5,8
4,2,25,2,0.5,2,8
5,2,21,2,0.5,1,4
6,1,19,2,3.5,9,6
7,2,17,4,0.5,8,5
8,3,19,6,0.5,0,9
9,1,15,2,0.5,5,1
10,3,15,2,0.5,0,4
11,1,23,2,0.5,1,10
12,1,19,4,3.5,1,4
13,2,15,8,2,3,7
14,3,25,4,0.5,0,1
15,1,17,6,2,8,1
16,3,25,4,2,4,0
17,3,21,2,3.5,0,9
18,3,15,4,0.5,5,0
19,2,19,4,3.5,6,4
20,2,17,2,0.5,8,1
21,3,19,4,2,1,0
22,1,17,2,3.5,1,5
23,1,25,2,2,2,11
24,2,15,2,2,3,1
25,2,19,6,0.5,4,1
26,2,21,2,3.5,9,4
27,3,21,2,0.5,0,5
28,3,15,2,0.5,0,2
29,2,23,4,2,7,4
30,1,17,6,0.5,8,3
31,3,19,6,2,0,3
32,1,21,2,0.5,7,1
33,1,15,2,2,3,7
34,2,21,4,0.5,7,9
35,3,17,8,2,1,0
36,2,21,8,0.5,4,7
