nTrial,trial_type,Endowment,ITI,ISI,L_Option,R_Option
1,3,25,2,3.5,0,4
2,1,25,4,0.5,5,8
3,2,23,2,3.5,10,7
4,2,21,6,0.5,9,7
5,2,17,2,3.5,3,1
6,2,19,8,3.5,9,4
7,3,15,4,2,7,0
8,3,21,2,2,3,0
9,1,19,2,0.5,4,9
10,2,17,2,2,8,3
11,3,19,2,0.5,5,0
12,3,23,2,0.5,8,0
13,1,25,4,2,8,11
14,2,19,4,3.5,4,1
15,2,23,4,0.5,7,1
16,1,23,2,0.5,4,10
17,1,15,2,0.5,1,7
18,3,21,2,0.5,0,1
19,3,19,6,0.5,0,5
20,3,25,2,0.5,1,0
21,1,23,4,3.5,1,4
22,1,23,6,2,1,10
23,1,17,2,0.5,5,8
24,2,23,2,0.5,1,7
25,1,21,6,0.5,9,1
26,3,17,4,0.5,0,6
27,1,19,2,0.5,6,4
28,2,23,4,2,1,7
29,2,25,4,2,2,5
30,2,25,2,0.5,8,5
31,3,15,8,0.5,2,0
32,1,17,8,2,3,5
33,3,25,6,0.5,0,1
34,3,19,2,2,9,0
35,2,25,4,2,11,2
36,1,25,2,0.5,8,2
