nTrial,trial_type,Endowment,ITI,ISI,L_Option,R_Option
1,1,25,6,3.5,2,5
2,1,17,4,0.5,3,1
3,2,23,6,3.5,1,7
4,3,15,6,2,0,5
5,3,25,2,0.5,0,1
6,3,19,4,0.5,0,7
7,3,19,2,0.5,0,9
8,1,23,4,2,7,4
9,1,21,2,0.5,4,9
10,1,21,4,0.5,4,1
11,2,23,2,0.5,1,4
12,1,25,4,0.5,8,2
13,2,19,2,0.5,6,4
14,2,15,2,0.5,1,7
15,2,21,2,2,4,9
16,3,15,2,0.5,2,0
17,2,19,2,2,6,1
18,1,21,4,0.5,9,4
19,3,23,2,2,1,0
20,1,23,2,2,1,7
21,3,17,6,3.5,0,3
22,1,23,2,3.5,1,10
23,1,25,8,2,8,11
24,1,21,2,0.5,9,7
25,2,25,8,2,5,8
26,3,15,8,2,2,0
27,2,15,2,0.5,7,1
28,3,19,4,0.5,1,0
29,2,17,2,2,8,1
30,2,19,2,0.5,4,6
31,3,15,4,0.5,7,0
32,2,17,4,3.5,8,3
33,3,17,2,3.5,4,0
34,3,25,4,0.5,0,6
35,2,17,6,0.5,5,8
36,1,19,2,0.5,9,6
