nTrial,trial_type,Endowment,ITI,ISI,L_Option,R_Option
1,1,21,8,2,1,7
2,3,15,2,0.5,0,2
3,3,23,2,0.5,10,0
4,2,21,4,0.5,4,1
5,3,17,2,2,0,6
6,3,19,4,0.5,0,3
7,3,21,8,3.5,1,0
8,3,15,4,3.5,0,1
9,3,25,4,0.5,4,0
10,2,15,4,0.5,7,3
11,1,15,6,3.5,5,3
12,1,17,6,0.5,1,8
13,2,23,2,0.5,4,1
14,1,25,6,0.5,8,2
15,2,15,2,2,1,3
16,2,23,2,0.5,1,10
17,2,25,6,2,2,8
18,1,23,2,0.5,7,10
19,1,23,2,3.5,10,7
20,2,19,2,0.5,9,4
21,2,23,2,2,1,4
22,2,15,4,2,7,5
23,1,21,4,0.5,4,9
24,1,25,4,0.5,11,2
25,1,19,2,0.5,6,1
26,1,25,2,0.5,5,8
27,2,17,8,0.5,3,5
28,1,17,6,2,5,8
29,3,19,2,0.5,0,5
30,2,19,2,0.5,6,4
31,3,17,4,3.5,0,6
32,3,23,2,2,0,1
33,3,17,2,0.5,8,0
34,2,25,2,2,11,2
35,1,17,2,2,3,8
36,3,21,4,3.5,5,0
