nTrial,trial_type,Endowment,ITI,ISI,L_Option,R_Option
1,1,17,4,3.5,1,8
2,2,25,2,0.5,2,5
3,1,17,4,0.5,1,5
4,2,21,6,0.5,9,4
5,2,17,2,3.5,8,5
6,3,19,4,0.5,0,3
7,1,21,8,3.5,1,9
8,3,19,8,0.5,3,0
9,3,15,6,0.5,2,0
10,3,25,2,0.5,0,9
11,1,17,2,0.5,5,1
12,3,19,4,0.5,0,1
13,1,17,2,0.5,3,8
14,3,21,2,0.5,9,0
15,1,17,6,2,1,5
16,3,17,4,2,4,0
17,1,21,8,3.5,9,1
18,3,19,2,2,0,1
19,2,25,2,0.5,5,2
20,1,17,4,3.5,5,8
21,2,17,2,0.5,5,3
22,1,17,2,2,8,5
23,1,17,2,0.5,3,5
24,1,25,2,2,8,11
25,2,15,2,2,3,1
26,3,21,4,2,5,0
27,2,15,2,2,7,1
28,3,19,6,0.5,9,0
29,2,23,4,2,7,1
30,2,19,2,0.5,9,4
31,3,19,4,3.5,0,7
32,2,15,2,0.5,3,7
33,1,17,6,0.5,3,5
34,3,23,2,2,1,0
35,2,23,4,0.5,7,4
36,2,25,2,0.5,2,5
