nTrial,trial_type,Endowment,ITI,ISI,L_Option,R_Option
1,1,21,8,0.5,1,7
2,3,21,2,0.5,0,1
3,3,25,4,2,4,0
4,2,25,4,3.5,8,11
5,1,17,2,2,1,3
6,1,25,2,0.5,2,5
7,1,25,2,2,8,2
8,3,21,2,0.5,7,0
9,1,23,4,0.5,7,10
10,3,15,2,0.5,1,0
11,2,21,6,0.5,9,7
12,2,19,6,0.5,4,1
13,1,17,2,0.5,8,1
14,3,21,6,3.5,9,0
15,3,15,8,2,2,0
16,2,21,8,0.5,9,7
17,1,25,6,0.5,5,11
18,3,15,2,0.5,7,0
19,1,21,2,0.5,4,9
20,2,19,4,0.5,9,1
21,2,25,4,3.5,2,11
22,2,23,2,0.5,7,1
23,3,23,2,2,0,6
24,3,25,4,2,0,6
25,3,15,4,0.5,2,0
26,1,21,4,3.5,4,7
27,2,23,2,0.5,7,4
28,3,17,2,2,6,0
29,1,15,6,0.5,3,1
30,1,17,2,3.5,5,3
31,2,19,4,0.5,9,4
32,2,19,2,3.5,9,4
33,2,19,2,2,4,6
34,1,21,2,0.5,1,7
35,2,21,4,2,1,9
36,3,21,2,2,1,0
