nTrial,trial_type,Endowment,ITI,ISI,L_Option,R_Option
1,2,23,2,0.5,1,4
2,1,21,2,2,7,1
3,2,23,2,0.5,4,7
4,2,23,4,3.5,7,10
5,2,17,8,0.5,3,8
6,3,19,6,2,1,0
7,3,19,2,0.5,3,0
8,1,15,4,0.5,5,3
9,3,15,2,0.5,1,0
10,1,23,4,2,4,1
11,2,17,4,2,5,3
12,2,25,2,0.5,5,2
13,1,23,6,0.5,10,1
14,2,19,4,0.5,4,6
15,2,23,4,0.5,1,7
16,2,25,6,3.5,2,11
17,1,15,4,3.5,7,3
18,1,15,4,3.5,1,5
19,3,23,2,0.5,0,6
20,1,19,2,0.5,9,4
21,3,15,4,0.5,2,0
22,3,19,4,0.5,9,0
23,3,21,2,3.5,0,7
24,3,23,8,0.5,10,0
25,1,15,2,0.5,7,5
26,2,25,6,0.5,2,11
27,2,25,2,0.5,8,11
28,1,17,2,2,8,1
29,3,17,2,0.5,3,0
30,1,25,6,2,11,8
31,3,17,2,2,0,6
32,1,25,2,2,2,5
33,3,15,2,2,0,1
34,1,21,2,3.5,7,1
35,2,25,2,2,5,11
36,3,21,8,0.5,0,5
