nTrial,trial_type,Endowment,ITI,ISI,L_Option,R_Option
1,3,15,2,2,4,0
2,2,17,2,2,5,3
3,2,15,8,0.5,5,1
4,1,21,6,3.5,4,1
5,1,23,2,0.5,7,10
6,1,25,2,3.5,11,2
7,2,23,2,2,1,10
8,3,23,2,0.5,0,1
9,2,25,4,2,8,11
10,3,19,4,0.5,0,1
11,1,19,2,2,6,4
12,3,23,2,0.5,0,3
13,2,21,4,2,9,4
14,1,25,6,0.5,2,5
15,3,17,4,0.5,1,0
16,1,15,4,0.5,1,5
17,1,17,4,0.5,5,1
18,2,17,2,2,8,5
19,3,17,2,0.5,0,3
20,2,17,2,3.5,1,5
21,1,17,4,0.5,1,3
22,1,17,2,0.5,3,8
23,2,25,8,2,11,2
24,1,23,2,0.5,10,7
25,1,23,6,0.5,4,7
26,1,21,4,0.5,1,9
27,3,17,8,2,6,0
28,3,19,2,3.5,0,7
29,3,25,2,0.5,11,0
30,2,21,4,2,4,9
31,2,21,6,3.5,9,4
32,2,23,6,3.5,4,1
33,3,23,2,0.5,6,0
34,2,23,2,0.5,4,7
35,3,21,4,0.5,0,3
36,3,23,2,0.5,0,10
