nTrial,trial_type,Endowment,ITI,ISI,L_Option,R_Option
1,2,19,2,0.5,4,6
2,1,17,2,3.5,8,5
3,2,19,2,0.5,1,6
4,1,17,6,0.5,5,3
5,1,15,8,2,7,1
6,3,23,4,2,0,1
7,2,15,2,2,3,7
8,1,15,8,0.5,1,7
9,3,19,2,0.5,0,5
10,2,21,4,0.5,7,9
11,1,17,4,0.5,5,1
12,3,23,6,3.5,0,10
13,3,19,2,3.5,0,3
14,1,15,4,0.5,1,5
15,3,19,4,3.5,3,0
16,2,21,2,2,4,1
17,3,21,4,0.5,0,7
18,3,17,2,2,0,1
19,3,25,2,0.5,0,6
20,1,25,2,0.5,2,11
21,1,15,2,0.5,1,3
22,2,15,4,2,7,5
23,3,23,2,3.5,3,0
24,1,23,4,0.5,10,4
25,1,15,6,0.5,5,3
26,2,21,2,2,4,7
27,2,25,2,2,8,2
28,1,19,2,0.5,4,1
29,2,19,2,0.5,6,9
30,2,25,8,2,11,5
31,3,21,2,0.5,0,9
32,3,19,4,2,0,7
33,2,17,6,3.5,1,3
34,3,19,2,0.5,0,1
35,2,21,4,0.5,4,9
36,1,25,6,0.5,11,2
