nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,3,21,6,0.5,3,0
2,1,15,4,3.5,7,3
3,3,25,2,0.5,4,0
4,3,21,2,0.5,1,0
5,2,21,4,2,4,1
6,3,23,2,0.5,0,6
7,2,17,6,3.5,5,1
8,3,23,2,0.5,0,1
9,2,25,2,2,11,8
10,1,21,2,0.5,9,1
11,2,25,2,0.5,5,2
12,2,19,2,2,9,4
13,1,15,6,0.5,5,7
14,2,17,6,0.5,8,1
15,1,17,2,3.5,3,5
16,2,19,4,0.5,6,4
17,1,21,4,3.5,7,1
18,3,25,4,3.5,0,9
19,2,17,4,0.5,1,3
20,3,17,2,3.5,8,0
21,2,15,2,0.5,1,5
22,1,15,2,0.5,7,5
23,3,23,2,0.5,1,0
24,3,15,4,0.5,7,0
25,1,23,4,0.5,4,10
26,1,25,4,2,8,11
27,3,15,8,2,0,5
28,1,21,8,2,1,9
29,1,21,4,2,4,9
30,2,23,8,0.5,7,4
31,1,19,6,0.5,1,4
32,1,23,2,0.5,1,10
33,3,19,2,0.5,5,0
34,2,21,2,2,4,7
35,3,21,2,2,3,0
36,2,21,2,2,1,7
