nTrial,trial_type,Endowment,ITI,ISI,L_Option,R_Option
1,3,15,2,2,0,1
2,2,25,6,2,11,8
3,3,23,4,0.5,0,6
4,1,19,4,0.5,9,1
5,3,17,2,0.5,0,3
6,2,19,2,2,4,9
7,2,19,4,0.5,9,4
8,2,21,2,2,1,9
9,1,23,2,0.5,4,1
10,3,15,2,0.5,4,0
11,3,21,4,3.5,3,0
12,2,23,6,3.5,4,7
13,2,21,8,2,9,4
14,1,23,2,3.5,1,4
15,1,19,4,0.5,6,1
16,2,19,4,2,4,9
17,1,23,2,3.5,1,7
18,1,25,6,0.5,11,8
19,1,23,2,2,10,1
20,3,15,2,0.5,7,0
21,3,17,2,3.5,0,1
22,3,23,4,0.5,0,3
23,1,19,4,0.5,1,4
24,3,17,4,0.5,6,0
25,2,21,2,0.5,7,9
26,2,15,8,0.5,5,3
27,1,23,6,2,7,1
28,2,19,2,2,6,9
29,3,19,2,0.5,7,0
30,3,25,2,2,1,0
31,3,25,8,0.5,11,0
32,1,19,4,0.5,6,4
33,1,17,6,0.5,3,1
34,2,21,2,0.5,4,7
35,1,21,2,0.5,1,9
36,2,19,2,3.5,1,6
