nTrial,trial_type,Endowment,ITI,ISI,L_Option,R_Option
1,3,17,4,3.5,1,0
2,1,25,2,0.5,5,8
3,2,19,2,0.5,6,4
4,1,19,2,0.5,1,9
5,2,15,4,2,7,3
6,2,23,4,2,7,1
7,2,15,4,3.5,7,5
8,3,23,6,0.5,0,8
9,1,21,2,3.5,7,9
10,1,17,4,2,1,3
11,1,21,6,3.5,9,4
12,3,17,6,0.5,1,0
13,1,21,2,0.5,4,9
14,3,17,2,2,4,0
15,3,17,4,2,0,1
16,3,15,4,0.5,7,0
17,2,19,8,0.5,6,9
18,2,15,4,0.5,3,1
19,1,19,2,0.5,1,4
20,2,15,4,0.5,7,1
21,3,23,8,2,6,0
22,2,17,4,0.5,5,3
23,1,19,2,2,9,6
24,3,21,2,0.5,0,9
25,2,25,2,2,2,11
26,3,19,2,0.5,0,3
27,3,25,6,0.5,0,9
28,1,23,2,3.5,4,7
29,1,19,2,0.5,4,9
30,2,25,6,0.5,2,8
31,2,19,2,2,6,1
32,2,19,2,0.5,9,1
33,1,21,2,0.5,4,1
34,3,17,2,0.5,3,0
35,1,21,2,3.5,1,7
36,3,21,8,2,3,0
