Trial,ISI,ITI,winlose,face_image_L,face_image_R
1,0.6,5.3,win,M111.jpg,M25.jpg
2,0.6,1.1,loss,M109.jpg,M39.jpg
3,0.6,1.1,win,M95.jpg,M65.jpg
4,0.6,3.2,win,F61.jpg,F13.jpg
5,0.6,5.3,loss,F115.jpg,F39.jpg
6,0.6,3.2,loss,M33.jpg,M113.jpg
7,0.6,3.2,win,M101.jpg,M97.jpg
8,0.6,1.1,loss,F07.jpg,F15.jpg
9,0.6,1.1,win,F47.jpg,F63.jpg
10,0.6,1.1,win,F45.jpg,F71.jpg
11,0.6,3.2,loss,F05.jpg,F11.jpg
12,0.6,1.1,loss,M13.jpg,M27.jpg
13,0.6,5.3,win,M29.jpg,M87.jpg
14,0.6,1.1,win,M35.jpg,M03.jpg
15,0.6,5.3,win,F73.jpg,F55.jpg
16,0.6,3.2,win,M77.jpg,M59.jpg
17,0.6,3.2,win,F41.jpg,F87.jpg
18,0.6,3.2,win,M117.jpg,M67.jpg
19,0.6,11.6,win,F57.jpg,F31.jpg
20,0.6,5.3,loss,M71.jpg,M31.jpg
21,0.6,5.3,win,M21.jpg,M19.jpg
22,0.6,3.2,loss,M09.jpg,M83.jpg
23,0.6,1.1,loss,M91.jpg,M17.jpg
24,0.6,1.1,loss,F59.jpg,F89.jpg
25,0.6,5.3,win,F35.jpg,F83.jpg
26,0.6,5.3,loss,M63.jpg,M115.jpg
27,0.6,3.2,win,M73.jpg,M81.jpg
28,0.6,1.1,loss,F09.jpg,F105.jpg
29,0.6,3.2,win,F117.jpg,F37.jpg
30,0.6,1.1,loss,F19.jpg,F77.jpg
31,0.6,1.1,loss,M45.jpg,M105.jpg
32,0.6,1.1,loss,M01.jpg,M119.jpg
33,0.6,5.3,win,M53.jpg,M75.jpg
34,0.6,1.1,loss,F21.jpg,F97.jpg
35,0.6,3.2,loss,F65.jpg,F23.jpg
36,0.6,5.3,win,F93.jpg,F03.jpg
37,0.6,5.3,loss,M103.jpg,M55.jpg
38,0.6,1.1,win,F49.jpg,F113.jpg
39,0.6,1.1,loss,F91.jpg,F99.jpg
40,0.6,5.3,loss,M107.jpg,M11.jpg
41,0.6,1.1,loss,M93.jpg,M47.jpg
42,0.6,3.2,loss,F51.jpg,F01.jpg
43,0.6,7.4,win,F69.jpg,F85.jpg
44,0.6,1.1,loss,F101.jpg,F17.jpg
45,0.6,1.1,win,M61.jpg,M41.jpg
46,0.6,1.1,loss,M69.jpg,M37.jpg
47,0.6,3.2,loss,M51.jpg,M85.jpg
48,0.6,5.3,loss,F109.jpg,F75.jpg
49,0.6,5.3,loss,F103.jpg,F27.jpg
50,0.6,5.3,loss,M49.jpg,M07.jpg
51,0.6,3.2,win,F119.jpg,F79.jpg
52,0.6,1.1,win,F53.jpg,F67.jpg
53,0.6,3.2,loss,F95.jpg,F81.jpg
54,0.6,3.2,win,M05.jpg,M89.jpg
55,0.6,1.1,win,F29.jpg,F107.jpg
56,0.6,1.1,win,F43.jpg,F33.jpg
57,0.6,1.1,win,F25.jpg,F111.jpg
58,0.6,5.3,win,M23.jpg,M15.jpg
59,0.6,5.3,win,M43.jpg,M99.jpg
60,0.6,5.3,loss,M57.jpg,M79.jpg
