TrialNumber,Trial,ISI,ITI,winlose,face_image_L,face_image_R,,ran,order,decision_onset,resp,rt,resp_onset,resp_offset,trialDuration,pre_feedback_fix_onset,pre_feedback_fix_duration,arrow_onset,arrow_offset,ITIonset,ITIoffset,Date_Time
1,1,2,5.3,win,M111.jpg,M25.jpg,,1.0,0.0,4.0588355,999.0,999.0,999.0,7.0617194,3.0032842,7.0623174,2.0,9.079859,12.115916,12.116394,17.43335,2019-10-30 14:01:34.517575
2,2,2,1.1,loss,M109.jpg,M39.jpg,,1.0,1.0,17.473068,999.0,999.0,999.0,20.488522,3.0159757,20.489378,2.0,22.50638,25.523731,25.523907,26.643215,2019-10-30 14:01:43.727212
3,3,4,1.1,win,M95.jpg,M65.jpg,,1.0,2.0,26.682293,999.0,999.0,999.0,29.694874,3.013109,29.695738,2.0,31.712605,34.74765,34.74801,35.866035,2019-10-30 14:01:52.949853
4,4,4,3.2,win,F61.jpg,F13.jpg,,1.0,3.0,35.924465,999.0,999.0,999.0,38.935207,3.0112646,38.936066,2.0,40.952305,43.988148,43.988525,47.205692,2019-10-30 14:02:04.289291
5,5,2,5.3,loss,F115.jpg,F39.jpg,,1.0,4.0,47.266537,999.0,999.0,999.0,50.276665,3.010652,50.277527,2.0,52.29433,55.311577,55.311752,60.631023,2019-10-30 14:02:17.714362
6,6,2,3.2,loss,M33.jpg,M113.jpg,,1.0,5.0,60.671467,3.0,0.59807265,61.269543,64.18661,3.5154326,64.18708,2.0,66.20354,69.22173,69.22191,72.44018,2019-10-30 14:02:29.523290
7,7,6,3.2,win,M101.jpg,M97.jpg,,1.0,6.0,72.48148,999.0,999.0,999.0,75.49445,3.0134978,75.495316,2.0,77.51218,80.54693,80.54728,83.7653,2019-10-30 14:02:40.848195
8,8,2,1.1,loss,F07.jpg,F15.jpg,,1.0,7.0,83.82589,2.0,0.510325,84.33621,87.340706,3.5151098,87.34117,2.0,89.35345,92.371635,92.3718,93.49011,2019-10-30 14:02:50.572814
9,9,8,1.1,win,F47.jpg,F63.jpg,,1.0,8.0,93.562965,2.0,0.9463466,94.50931,97.078735,3.5160635,97.07921,2.0,99.093506,102.12972,102.13008,103.24782,2019-10-30 14:03:00.330326
10,10,2,1.1,win,F45.jpg,F71.jpg,,1.0,9.0,103.31664,2.0,1.2669065,104.58355,106.831184,3.5148184,106.83163,2.0,108.85062,111.88624,111.88659,113.00439,2019-10-30 14:03:10.086714
11,11,4,3.2,loss,F05.jpg,F11.jpg,,1.0,10.0,113.06581,2.0,0.5905131,113.65633,116.5814,3.515877,116.58186,2.0,118.59013,121.607605,121.60778,124.82741,2019-10-30 14:03:21.909497
12,12,6,1.1,loss,M13.jpg,M27.jpg,,1.0,11.0,124.88759,999.0,999.0,999.0,127.89726,3.0102086,127.89813,2.0,129.9156,132.93378,132.93396,134.0512,2019-10-30 14:03:31.133110
13,13,2,5.3,win,M29.jpg,M87.jpg,,1.0,12.0,134.11002,2.0,0.87895507,134.98897,137.62477,3.5150473,137.62523,2.0,139.63788,142.67406,142.67442,147.9925,2019-10-30 14:03:45.074152
