nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,3,19,4,3.5,4,1
2,2,21,2,3.5,4,1
3,1,21,6,3.5,7,9
4,1,19,4,2,1,6
5,2,17,4,2,3,1
6,1,23,4,2,4,7
7,2,17,6,3.5,5,3
8,2,25,2,3.5,8,2
9,2,17,2,2,8,5
10,2,23,6,2,4,10
11,1,19,2,2,1,6
12,3,19,4,5,6,9
13,1,15,2,5,3,7
14,3,17,2,2,1,5
15,1,21,6,2,9,1
16,3,25,2,5,5,2
17,1,23,2,5,1,4
18,3,17,8,2,3,5
19,1,15,2,2,1,7
20,2,19,2,3.5,1,4
21,3,23,2,5,7,4
22,1,17,4,3.5,5,1
23,2,17,4,2,3,5
24,3,15,6,2,5,1
25,3,21,2,2,9,7
26,2,25,4,2,8,5
27,1,19,2,3.5,9,1
28,1,23,2,2,10,4
29,3,15,4,2,3,7
30,3,19,2,3.5,1,6
31,1,21,4,2,7,9
32,3,15,2,3.5,3,7
33,2,23,8,2,10,7
34,3,25,8,2,11,2
35,2,15,2,5,7,3
36,2,17,2,2,1,8
